Nummer;Vattentyp;Namn;Braxen;Faren;Skäggsimpa;Löja;Klorocka;Kusttobis;Havstobis;Havskatt;Tungevar;Klarbult;Näbbgädda;Björkna;Randig_sjökock;Fläckig_sjökock;Krabbtaska;Ruda;Grässnultra;Havsmus;Sill_strömming;Sik_havslekande;Siklöja_höstlekande;Bergsimpa;Stensimpa;Glasbult;Stensnultra;Sjurygg;Fyrtömmad_skärlånga;Större_havsnål;Gädda;Knot;Torsk_Östersjön;Torsk_Västerhavet;Storspigg;Rödtunga;Svart_smörbult;Sjustrålig_smörbult;Gärs;Hälleflundra;Lerskädda;Hummer;Tobiskung;Berggylta;Blågylta;Id;Sandskädda;Större_ringbuk;Tångringbuk;Lake;Spetslångebarn;Ålbrosme;Kolja;Vitling;Kummel;Taggsimpa;Kolmule;Bergskädda;Långa;Rötsimpa;Havskräfta;Nors;Nordhavsräka;Abborre;Tejstefisk;Elritsa;Småvar;Skrubbskädda;Rödspätta;Lyrtorsk;Gråsej;Bergstubb;Sandstubb;Lerstubb;Piggvar;Småspigg;Knaggrocka;Mört;Oring_havs_Lekvandring;Gös;Sarv;Makrill;Slätvar;Tunga;Tångspigg;Skarpsill;Skärsnultra;Större_kantnål;Tångsnälla;Oxsimpa;Harr;Sutare;Fjärsing;Taggmakrill;Hornsimpa;Glyskolja;Vitlinglyra;Bergvar;Tånglake;Småfläckig_rödhaj;Pigghaj
1;Kustvatten;Västkustens inre kustvatten;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0
2;Kustvatten;Västkusten, fjordar;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0
3;Kustvatten;Västkustens yttre kustvatten, Skagerrak;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0
4;Kustvatten;Västkustens yttre kustvatten, Kattegatt;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0
5;Kustvatten;Södra Hallands och norra Öresunds kustvatten;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0
6;Kustvatten;Öresunds kustvatten;0;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0
7;Kustvatten;Skånes kustvatten;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
8;Kustvatten;Blekinge skärgård och Kalmarsund, inre kustvatten;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
9;Kustvatten;Blekinge skärgård och Kalmarsund, yttre kustvatten;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
10;Kustvatten;Ölands och Gotlands kustvatten;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
11;Kustvatten;Gotlands nordvästra kustvatten;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
12;Kustvatten;Östergttlands och Stockholms skärgård, mellankustvatten;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
13;Kustvatten;Östergttlands inre kustvatten;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
14;Kustvatten;Östergttlands yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
15;Kustvatten;Stockholms skärgård, yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
16;Kustvatten;Södra Bottenhavet, inre kustvatten;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0
17;Kustvatten;Södra Bottenhavet, yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
18;Kustvatten;Norra Bottenhavet, Höga kusten, inre kustvatten;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0
19;Kustvatten;Norra Bottenhavet, Höga kusten, yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
20;Kustvatten;Norra Kvarkens inre kustvatten;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
21;Kustvatten;Norra Kvarkens yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
22;Kustvatten;Norra Bottenviken, inre kustvatten;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
23;Kustvatten;Norra Bottenviken, yttre kustvatten;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
24;Kustvatten;Stockholms inre skärgård och Hallsfjården;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
25;Kustvatten;Göta alvs och Nordre älvs estuarie;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0
53;Utsjögrund;Skagerrak;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1
54;Utsjögrund;Kattegatt;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1
55;Utsjögrund;Norra Egentliga  Östersjön;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
56;Utsjögrund;Södra Egentliga  Östersjön;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
57;Utsjögrund;Bottenviken;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
58;Utsjögrund;Bottenhavet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
26;Utsjö;Skagerrak;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
27;Utsjö;Kattegatt;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
28;Utsjö;Norra Egentliga  Östersjön;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Utsjö;Södra Egentliga  Östersjön;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Utsjö;Bottenviken;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Utsjö;Bottenhavet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;Lekdjup_fom;mindjup;0;0;0;0;0;0;0;10;10;40;0;0;0;0;10;0;0;0;0;0;0;0;0;10;0;5;0;0;0;25;10;10;0;40;0;0;3;300;40;5;20;0;2;0;30;5;0;0,5;10;170;50;30;100;0;100;10;60;0;40;0;50;0;2;0;25;0;20;100;60;0;0;0;0;0;7;0;0,3;1;0;0;10;0;1;0;0;0;0;10;0;0;5;100;10;50;40;10;2;30;20
100;Lekdjup_tom;maxdjup;1,5;3;20;6;30;10;10;200;40;100;6;6;10;10;40;6;10;100;40;15;30;6;6;400;20;40;60;10;6;50;270;100;6;160;75;5;6;700;200;40;100;30;15;6;100;300;30;3;100;365;150;100;1000;100;1000;100;300;11;800;6;500;5;6;6;200;100;90;200;200;6;3;6;20;6;20;1;1;6;1;20;30;30;10;40;30;6;6;15;4;1;25;200;20;100;300;15;20;80;80
